Date,Epoch,Loss,MSE,Predicted,Actual
2013-01-16,0,0.8688546419143677,0.8688546305907643,-0.00593274,-0.93805647
2013-01-17,0,0.8548834919929504,0.85488351621024,-0.006124756,-0.93072385
2013-01-18,0,0.8463271260261536,0.8463271000347419,-0.0063161803,-0.92627656
2013-01-22,0,0.8353303670883179,0.8353303628024698,-0.006506369,-0.9204705
2013-01-23,0,0.8313567042350769,0.8313566806299519,-0.0066974484,-0.9184851
2013-01-24,0,0.8309912085533142,0.8309911843832118,-0.0068891,-0.9184763
2013-01-25,0,0.8176020383834839,0.817602032065512,-0.0070802215,-0.9112937
2013-01-28,0,0.8216968178749084,0.8216968312235764,-0.007271764,-0.9137467
2013-01-29,0,0.8091459274291992,0.8091459523989784,-0.0074622314,-0.9069876
2013-01-30,0,0.8181625604629517,0.8181625316703958,-0.0076527107,-0.9121761
2013-01-31,0,0.823974072933197,0.8239740472654411,-0.007843089,-0.91557324
2013-02-01,0,0.7996834516525269,0.7996834454176884,-0.008034299,-0.9022845
2013-02-04,0,0.8271279335021973,0.8271279143905339,-0.008225236,-0.917691
2013-02-05,0,0.8019697070121765,0.8019696845863677,-0.008415768,-0.90394336
2013-02-06,0,0.8003172278404236,0.8003172187710881,-0.008606501,-0.903211
2013-02-07,0,0.8042926788330078,0.8042926495818961,-0.00879629,-0.9056199
2013-02-08,0,0.7904941439628601,0.7904941734553041,-0.008986973,-0.89808434
2013-02-11,0,0.7916003465652466,0.7916003399378155,-0.009176933,-0.89889616
2013-02-12,0,0.7874677181243896,0.7874677076529544,-0.009366986,-0.89676076
2013-02-13,0,0.7857211232185364,0.7857210994243111,-0.009557467,-0.8959666
2013-02-14,0,0.783745527267456,0.7837455021592667,-0.009746068,-0.8950401
2013-02-15,0,0.7858932614326477,0.785893242348962,-0.009936919,-0.8964431
2013-02-19,0,0.7682141065597534,0.7682141311286195,-0.010126215,-0.8866045
2013-02-20,0,0.7975298166275024,0.797529812476828,-0.010315778,-0.903361
2013-02-21,0,0.8122772574424744,0.8122772488300178,-0.010505913,-0.91177016
2013-02-22,0,0.7911121845245361,0.7911122081455382,-0.01069539,-0.9001403
2013-02-25,0,0.8349208831787109,0.8349208586373749,-0.010886463,-0.9246265
2013-02-26,0,0.8199827075004578,0.8199827021294404,-0.011076685,-0.91660565
2013-02-27,0,0.7894829511642456,0.789482941212416,-0.011267651,-0.8997962
2013-02-28,0,0.7911993861198425,0.7911993672826192,-0.0114581995,-0.9009521
2013-03-01,0,0.7853457927703857,0.7853458108031397,-0.011648723,-0.8978461
2013-03-04,0,0.7741023898124695,0.774102407059619,-0.011838484,-0.8916694
2013-03-05,0,0.7512840628623962,0.7512840836809573,-0.012028958,-0.8787954
